,0,0
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.8,0.0
8,1.0,0.0
9,1.4,0.0
10,2.0,0.0
11,1.8,0.0
12,1.6,0.0
13,1.4,0.0
14,2.0,0.0
15,1.8,0.0
16,1.0,0.0
17,1.0,0.0
18,2.0,0.0
19,1.8,0.0
20,1.4,0.0
21,1.6,0.0
22,2.0,0.0
23,2.0,0.0
24,1.2,0.0
25,1.6,0.0
26,1.0,0.0
27,1.0,0.0
28,1.0,0.0
29,1.6,0.0
30,2.0,0.0
31,1.0,0.0
32,1.6,0.0
33,1.8,0.0
34,2.0,0.0
35,2.0,0.0
36,1.4,0.0
37,1.2,0.0
38,1.4,0.0
39,1.0,0.0
40,1.4,0.0
41,2.0,0.0
42,1.4,0.0
43,2.0,0.0
44,2.0,0.0
45,2.0,0.0
46,2.0,0.0
47,2.0,0.0
48,1.6,0.0
49,1.8,0.0
50,2.0,0.0
51,1.0,0.0
52,1.0,0.0
53,1.0,0.0
54,1.0,0.0
55,1.4,0.0
56,1.8,0.0
57,1.8,0.0
58,2.0,0.0
59,2.0,0.0
60,1.4,0.0
61,2.0,0.0
62,2.0,0.0
63,2.0,0.0
64,2.0,0.0
65,1.4,0.0
66,2.0,0.0
67,1.2,0.0
68,1.6,0.0
69,1.4,0.0
70,1.2,0.0
71,1.0,0.0
72,1.0,0.0
73,1.0,0.0
74,1.0,0.0
75,1.0,0.0
76,1.0,0.0
77,1.0,0.0
78,1.2,0.00390625
79,3.6,0.0361328125
80,8.4,0.173828125
81,14.4,0.3525390625
82,20.8,0.6005859375
83,25.4,1.02734375
84,34.0,1.0078125
85,41.2,1.42578125
86,49.2,2.3583984375
87,58.2,2.5732421875
88,66.0,3.0927734375
89,75.0,4.056640625
90,84.4,4.091796875
91,91.6,4.634765625
92,97.0,6.0869140625
93,103.0,7.439453125
94,111.6,5.375
95,121.4,8.490234375
96,132.2,8.279296875
97,142.0,9.4794921875
98,151.0,8.1015625
99,163.4,9.982421875
100,174.6,11.9326171875
101,186.2,9.80859375
102,197.6,12.00390625
103,208.2,14.58984375
104,217.0,11.623046875
105,229.6,15.3193359375
106,240.4,11.9775390625
107,250.6,15.0224609375
108,155.4,12.930585290719815
109,163.8,0.0
110,58.0,0.0
111,299.2,14.57139650522116
112,309.8,8.4208984375
113,322.6,15.8037109375
114,335.8,20.3984375
115,347.4,18.66796875
116,358.0,19.7509765625
117,369.8,19.8779296875
118,379.6,21.4580078125
119,393.4,21.0595703125
120,403.4,21.4453125
121,413.2,20.794921875
122,423.6,22.396484375
123,432.2,20.80078125
124,440.0,23.658203125
125,447.4,22.6259765625
126,454.4,25.5986328125
127,462.2,24.814453125
128,472.0,22.3916015625
129,477.6,24.3720703125
130,484.2,21.6728515625
131,491.0,24.6767578125
132,495.2,26.5166015625
133,500.6,21.62890625
134,505.4,29.8955078125
135,511.0,20.6103515625
136,516.8,28.0498046875
137,516.4,23.3818359375
138,521.0,26.857421875
139,522.6,25.7216796875
140,526.0,24.1015625
141,530.2,24.6533203125
142,532.8,27.95703125
143,527.6,26.43359375
144,531.0,24.263671875
145,526.6,25.255859375
146,529.8,28.3232421875
147,526.4,21.2998046875
148,526.2,22.7333984375
149,520.0,30.5126953125
150,515.6,21.7451171875
151,514.2,29.4638671875
152,506.4,20.5888671875
153,498.8,25.8955078125
154,496.0,24.1142578125
155,492.2,24.978515625
156,477.8,24.634765625
157,476.6,20.3076171875
158,475.4,25.6376953125
159,467.0,20.515625
160,455.8,26.6865234375
161,444.0,20.7177734375
162,437.0,23.2841796875
163,433.8,21.5712890625
164,424.6,20.1767578125
165,415.2,22.2109375
166,410.2,23.982421875
167,403.6,16.9208984375
168,390.8,22.912109375
169,382.4,19.72265625
170,370.0,18.0087890625
171,360.4,24.0439453125
172,349.4,17.11328125
173,336.4,16.3056640625
174,323.8,18.5947265625
175,305.2,17.3671875
176,297.6,16.8134765625
177,278.4,15.40625
178,267.2,16.0244140625
179,265.6,13.314453125
180,251.0,16.83203125
181,239.8,11.7998046875
182,225.6,14.416015625
183,213.4,12.1220703125
184,201.2,13.2783203125
185,190.4,10.443359375
186,177.4,11.2177734375
187,165.8,8.4560546875
188,155.4,10.802734375
189,143.8,8.248046875
190,134.4,8.89453125
191,124.8,6.494140625
192,113.0,7.52734375
193,103.6,5.7138671875
194,95.2,5.9443359375
195,87.4,5.1279296875
196,79.2,4.205078125
197,71.0,4.009765625
198,63.8,3.40625
199,55.2,3.0556640625
200,46.8,2.7919921875
201,40.0,2.171875
202,34.0,1.55078125
203,27.8,1.310546875
204,22.6,1.0556640625
205,16.4,0.662109375
206,11.6,0.5634765625
207,7.2,0.2412109375
208,3.2,0.140625
209,2.0,0.0283203125
210,2.0,0.0087890625
211,2.0,1.7180257127568017
212,2.0,0.0
213,2.0,0.0
214,2.0,0.0
215,2.0,0.0
216,2.0,0.0
217,2.0,0.0
218,2.0,0.0
219,2.0,0.0
220,2.0,0.0
221,2.0,0.0
222,2.0,0.0
223,2.0,0.0
224,2.0,0.0
225,2.0,0.0
226,2.0,0.0
227,2.0,0.0
228,2.0,0.0
229,2.0,0.0
230,2.0,0.0
231,2.0,0.0
232,2.0,0.0
233,1.4,0.0
234,1.4,0.0
235,1.2,0.0
236,2.0,0.0
237,2.0,0.0
238,2.0,0.0
239,2.0,0.0
240,2.0,0.0
241,2.0,0.0
242,2.0,0.0
243,2.0,0.0
244,2.0,0.0
245,2.0,0.0
246,2.0,0.0
247,2.0,0.0
248,2.0,0.0
249,2.0,0.0
250,2.0,0.0
251,2.0,0.0
252,2.0,0.0
253,2.0,0.0
254,2.0,0.0
255,2.0,0.0
256,2.0,0.0
257,1.6,0.0
258,2.0,0.0
259,2.0,0.0
260,2.0,0.0
261,2.2,0.0
262,2.2,0.0
263,2.0,0.0
264,2.0,0.0
265,2.0,0.0
266,2.0,0.0
267,2.0,0.0
268,2.0,0.0
269,2.0,0.0
270,2.0,0.0
271,2.0,0.0
272,2.0,0.0
273,2.0,0.0
274,2.0,0.0
275,2.2,0.0
276,2.4,0.0
277,2.0,0.0
278,2.0,0.0
279,2.0,0.0
280,2.0,0.0
281,2.0,0.0
282,2.0,0.0
283,0.4,0.0
284,0.0,0.0
285,0.0,0.0
286,0.0,0.0
287,0.0,0.0
288,0.0,0.0
289,0.0,0.0
290,0.0,0.0
291,0.0,0.0
292,0.0,0.0
293,0.0,0.0
294,0.0,0.0
295,2.6,0.0
296,2.0,0.0
297,2.0,0.0
298,2.0,0.0
299,2.4,0.0
300,2.0,0.0
301,2.0,0.0
302,2.0,0.0
303,2.0,0.0
304,2.0,0.0
305,2.0,0.0
306,1.6,0.0
307,2.0,0.0
308,2.0,0.0
309,2.0,0.0
310,2.0,0.0
311,2.0,0.0
312,2.0,0.0
313,2.0,0.0
314,2.0,0.0
315,2.0,0.0
316,2.0,0.0
317,2.0,0.0
318,2.0,0.0
319,2.0,0.0
320,2.0,0.0
321,2.0,0.0
322,2.0,0.0
323,2.0,0.0
324,2.0,0.0
325,2.0,0.0
326,1.4,0.0
327,1.0,0.0
328,1.8,0.0
329,2.0,0.0
330,1.4,0.0
331,2.0,0.0
332,1.8,0.0
333,1.6,0.0
334,2.0,0.0
335,1.8,0.0
336,1.6,0.0
337,2.0,0.0
338,2.0,0.0
339,2.0,0.0
340,2.0,0.0
341,2.0,0.0
342,2.0,0.0
343,1.8,0.0
344,1.6,0.0
345,2.0,0.0
346,1.4,0.0
347,2.0,0.0
348,2.0,0.0
349,2.0,0.0
350,1.4,0.0
351,2.0,0.0
352,1.4,0.0
353,1.4,0.0
354,2.0,0.0
355,1.4,0.0
356,2.0,0.0
357,2.0,0.0
358,1.4,0.0
359,1.4,0.0
360,1.0,0.0
361,1.0,0.0
362,1.0,0.0
363,1.6,0.0
364,1.2,0.0
365,1.8,0.0
366,1.4,0.0
367,3.4,0.03515625
368,7.4,0.1416015625
369,11.2,0.283203125
370,16.2,0.4228515625
371,21.8,0.787109375
372,28.6,0.890625
373,34.6,1.3330078125
374,40.6,1.6240234375
375,48.0,2.1552734375
376,55.6,2.173828125
377,63.2,3.552734375
378,71.0,3.8212890625
379,78.6,3.185546875
380,87.4,5.2724609375
381,97.0,5.0400390625
382,104.8,4.943359375
383,114.0,6.7177734375
384,122.8,6.4892578125
385,134.0,8.0283203125
386,143.6,7.4912109375
387,154.2,10.0380859375
